Timestamp,Используете ли вы Auto Mode или аналогичный режим автономной работы любого другого AI-агента? ,"Спасибо за участие. 

Почему вы не используете Auto Mode?  ",Какие AI-агенты вы используете?  ,Как часто вы используете автономный режим?  ,Что вам больше всего НЕ нравится в текущем Auto Mode или аналогичных режимах?  ,"В каких ситуациях вы чаще всего хотите, чтобы агент работал полностью самостоятельно?  ",Какие действия вы считаете обязательными для подтверждения человеком?  ,"Если бы существовал более умный Auto Mode, что было бы для вас самым ценным улучшением?  ","Опишите самый неприятный случай использования AI-агента, который вы помните.  "
9/3/2026 12:29:28,"✅ Да, использую регулярно",,"Claude Code, OpenAI Codex",Несколько раз в неделю,"Слишком часто просит подтверждение, Иногда разрешает опасные действия, Непонятно, почему действие было разрешено или заблокировано, Боюсь утечки секретов / данных","Запуск тестов, Поиск информации в интернете, Работа с Git, Работа с базами данных, Работа с облачными сервисами","Удаление файлов, Изменение production-кода, Отправка данных наружу, Работа с секретами (.env, токены, ключи), Выполнение команд с sudo/admin правами",Агент показывает понятный журнал всех своих действий,
9/3/2026 12:50:40,"✅ Да, использую регулярно",,Claude Code,Каждый день,"Непонятно, почему действие было разрешено или заблокировано, Не хватает контроля над тем, что именно разрешено, Сложно понять последствия действия агента, Боюсь утечки секретов / данных","Создание и изменение файлов, Установка зависимостей, Запуск тестов, Рефакторинг кода, Поиск информации в интернете, Работа с облачными сервисами, С бд только чтение","Удаление файлов, Отправка данных наружу, Работа с секретами (.env, токены, ключи), Выполнение команд с sudo/admin правами","Агент лучше объясняет, почему действие опасно",В мр начал писать комментарии на вопросы техлида 
9/3/2026 13:31:59,"✅ Да, использую регулярно",,"Claude Code, OpenAI Codex",Каждый день,"Иногда блокирует безопасные действия, Непонятно, почему действие было разрешено или заблокировано, Теряет контекст","Создание и изменение файлов, Установка зависимостей, Запуск тестов, Рефакторинг кода, Поиск информации в интернете, Работа с Git, Работа с базами данных, Работа с облачными сервисами",Отправка данных наружу,"Агент лучше контролирует внешние инструменты (MCP, API)",
9/3/2026 14:44:08,"❌ Нет, не использую",Не вижу необходимости,,,,,,,
9/3/2026 15:35:30,"❌ Нет, не использую",Не доверяю AI-агенту выполнять действия самостоятельно,,,,,,,
9/3/2026 18:32:18,"✅ Да, использую регулярно",,"Claude Code, OpenAI Codex",Несколько раз в день,"Слишком часто просит подтверждение, Иногда блокирует безопасные действия, Не хватает контроля над тем, что именно разрешено","Запуск тестов, Рефакторинг кода, Поиск информации в интернете","Изменение production-кода, Отправка данных наружу, Выполнение команд с sudo/admin правами, Изменение инфраструктуры (AWS, Kubernetes и т.п.)",Агент сам находит безопасный альтернативный путь после блокировки,
9/3/2026 18:41:35,"✅ Да, использую регулярно",,"Claude Code, Cursor Agent, OpenAI Codex",Каждый день,"Сложно понять последствия действия агента, Боюсь утечки секретов / данных, Боюсь вредоносных зависимостей или MCP-инструментов","Запуск тестов, Поиск информации в интернете","Удаление файлов, Изменение production-кода, Отправка данных наружу, Работа с секретами (.env, токены, ключи), Установка новых пакетов, Выполнение команд с sudo/admin правами, Изменение инфраструктуры (AWS, Kubernetes и т.п.)","Агент лучше объясняет, почему действие опасно",
9/3/2026 18:48:07,🟡 Использовал несколько раз,,"Claude Code, OpenAI Codex",Несколько раз в неделю,"Иногда разрешает опасные действия, Не хватает контроля над тем, что именно разрешено, Боюсь утечки секретов / данных, Боюсь вредоносных зависимостей или MCP-инструментов","Создание и изменение файлов, Установка зависимостей, Запуск тестов, Рефакторинг кода, Поиск информации в интернете","Удаление файлов, Изменение production-кода, Отправка данных наружу, Работа с секретами (.env, токены, ключи), Установка новых пакетов, Выполнение команд с sudo/admin правами, Изменение инфраструктуры (AWS, Kubernetes и т.п.)","Агент лучше объясняет, почему действие опасно",
9/3/2026 18:57:20,"✅ Да, использую регулярно",,"Claude Code, OpenAI Codex",Каждый день,"Не хватает контроля над тем, что именно разрешено, Сложно понять последствия действия агента, Боюсь утечки секретов / данных, Боюсь вредоносных зависимостей или MCP-инструментов","Создание и изменение файлов, Установка зависимостей, Запуск тестов, Рефакторинг кода, Поиск информации в интернете","Удаление файлов, Изменение production-кода, Отправка данных наружу, Работа с секретами (.env, токены, ключи), Выполнение команд с sudo/admin правами, Изменение инфраструктуры (AWS, Kubernetes и т.п.)","Агент лучше объясняет, почему действие опасно",
9/3/2026 19:40:42,"✅ Да, использую регулярно",,Claude Code,Несколько раз в день,"Сложно понять последствия действия агента, Боюсь утечки секретов / данных, ","Создание и изменение файлов, Установка зависимостей, Запуск тестов, Рефакторинг кода, Поиск информации в интернете, Работа с Git, Работа с базами данных, Работа с облачными сервисами","Удаление файлов, Отправка данных наружу, Работа с секретами (.env, токены, ключи)",Агент показывает понятный журнал всех своих действий,
9/3/2026 23:07:45,"❌ Нет, не использую",Не доверяю AI-агенту выполнять действия самостоятельно,,,,,,,
9/4/2026 13:35:13,"✅ Да, использую регулярно",,OpenAI Codex,Несколько раз в день,"Непонятно, почему действие было разрешено или заблокировано, Не хватает контроля над тем, что именно разрешено, Сложно понять последствия действия агента","Создание и изменение файлов, Рефакторинг кода, Работа с облачными сервисами","Работа с секретами (.env, токены, ключи), Выполнение команд с sudo/admin правами, Изменение инфраструктуры (AWS, Kubernetes и т.п.)",Агент сам находит безопасный альтернативный путь после блокировки,
9/4/2026 15:04:35,"✅ Да, использую регулярно",,"Claude Code, Cursor Agent, Kilo Code",Несколько раз в неделю,"Иногда блокирует безопасные действия, Не хватает контроля над тем, что именно разрешено, Сложно понять последствия действия агента, Боюсь утечки секретов / данных, Боюсь вредоносных зависимостей или MCP-инструментов","Рефакторинг кода, Работа с Git, Работа с облачными сервисами","Изменение production-кода, Отправка данных наружу, Работа с секретами (.env, токены, ключи), Изменение инфраструктуры (AWS, Kubernetes и т.п.)","Агент лучше объясняет, почему действие опасно",
9/4/2026 15:08:12,"✅ Да, использую регулярно",,"Claude Code, openclaude",Каждый день,"Сложно понять последствия действия агента, Боюсь утечки секретов / данных, Боюсь вредоносных зависимостей или MCP-инструментов","Создание и изменение файлов, Установка зависимостей, Запуск тестов, Рефакторинг кода","Отправка данных наружу, Работа с секретами (.env, токены, ключи), Выполнение команд с sudo/admin правами, Изменение инфраструктуры (AWS, Kubernetes и т.п.)",Агент сам находит безопасный альтернативный путь после блокировки,
9/4/2026 15:10:00,"✅ Да, использую регулярно",,"Claude Code, Cursor Agent, OpenAI Codex",Несколько раз в день,"Слишком часто просит подтверждение, Иногда блокирует безопасные действия, Не хватает контроля над тем, что именно разрешено, Сложно понять последствия действия агента, Боюсь утечки секретов / данных","Создание и изменение файлов, Установка зависимостей, Запуск тестов, Рефакторинг кода, Поиск информации в интернете, Работа с Git, Работа с базами данных, Работа с облачными сервисами",Отправка данных наружу,Агент почти никогда не спрашивает меня о безопасных действиях,"Агент установил мне нерелевантные пакеты зависимости, перепутал именно с оригиналами"
9/4/2026 15:10:46,"✅ Да, использую регулярно",,"Claude Code, ZCode, OpenCode",Каждый день,"Слишком часто просит подтверждение, Иногда блокирует безопасные действия, Сложно понять последствия действия агента, Боюсь утечки секретов / данных, Боюсь вредоносных зависимостей или MCP-инструментов","Создание и изменение файлов, Рефакторинг кода, Поиск информации в интернете","Работа с секретами (.env, токены, ключи), Выполнение команд с sudo/admin правами, Изменение инфраструктуры (AWS, Kubernetes и т.п.)",Агент лучше защищает секреты и данные,
9/5/2026 13:51:11,🟡 Использовал несколько раз,,"Cursor Agent, GigaCode agent",Несколько раз в неделю,"Слишком часто просит подтверждение, Непонятно, почему действие было разрешено или заблокировано, Боюсь утечки секретов / данных","Создание и изменение файлов, Установка зависимостей, Запуск тестов, Рефакторинг кода, Поиск информации в интернете, Работа с Git","Изменение production-кода, Отправка данных наружу, Работа с секретами (.env, токены, ключи), Выполнение команд с sudo/admin правами",Агент показывает понятный журнал всех своих действий,
9/6/2026 14:35:24,"✅ Да, использую регулярно",,"Claude Code, OpenAI Codex",Несколько раз в день,"Не хватает контроля над тем, что именно разрешено, Сложно понять последствия действия агента, Боюсь утечки секретов / данных","Создание и изменение файлов, Запуск тестов, Рефакторинг кода, Поиск информации в интернете","Работа с секретами (.env, токены, ключи), Изменение инфраструктуры (AWS, Kubernetes и т.п.), Никакие — агенту можно доверять полностью",Агент показывает понятный журнал всех своих действий,Сгенерировал миграцию и тут же применил её (без вопроса о том нужно ли это илиже нет)
